Transaction ID,Date,Time,Store ID,Product Name,Category,Subcategory,Quantity Sold,Price per Unit,Total Sales,Discount,Payment Method,Customer ID,Age,Gender,Income Level,Location,Loyalty Program,Purchase Frequency
T0083,2024-01-15,08:36:04,S004,Washing Machines 108,Home Appliances,Washing Machines,4,13659.26,54637.04,2760.08,Mobile Payment,C0092,27,Female,"75,000-99,999",Bangalore,No,Medium
T0056,2024-02-15,01:14:08,S004,Skincare Products 391,Health and Wellness,Skincare Products,2,52159.51,104319.02,15957.3,Debit Card,C0065,29,Male,"25,000-49,999",Bangalore,Yes,Low
T0082,2024-04-30,06:42:48,S004,Dumbbells 432,Sports and Outdoors,Dumbbells,2,73937.6,147875.2,43012.84,Cash,C0055,51,Female,"50,000-74,999",Bangalore,No,Medium
T0099,2024-01-28,12:31:31,S001,Camping Gear 190,Sports and Outdoors,Camping Gear,4,35479.08,141916.32,20502.98,Credit Card,C0057,44,Female,"50,000-74,999",Bangalore,Yes,High
T0088,2024-02-27,00:01:06,S001,Sunglasses 465,Fashion and Accessories,Sunglasses,1,10341.52,10341.52,2657.65,Mobile Payment,C0092,61,Female,"75,000-99,999",Chennai,No,High
T0020,2024-07-12,08:50:44,S005,Bluetooth Speakers 830,Electronics,Bluetooth Speakers,2,6483.33,12966.66,2517.23,Debit Card,C0083,40,Male,"100,000+",Mumbai,Yes,Low
T0011,2024-07-17,14:20:56,S001,Jackets 643,Fashion and Accessories,Jackets,2,77409.8,154819.6,22132.36,Mobile Payment,C0065,54,Male,"50,000-74,999",Hyderabad,No,Low
T0037,2024-05-05,05:13:27,S002,Hats 710,Fashion and Accessories,Hats,4,77608.38,310433.52,87324.27,Credit Card,C0044,75,Female,"50,000-74,999",Delhi,No,Medium
T0082,2024-01-27,13:49:43,S004,Massage Devices 216,Health and Wellness,Massage Devices,3,74009.68,222029.04,55164.09,Mobile Payment,C0022,51,Female,"75,000-99,999",Chennai,Yes,Medium
T0010,2024-04-30,01:44:28,S003,Vitamins 525,Health and Wellness,Vitamins,2,88152.29,176304.58,35153.88,Debit Card,C001,25,Male,"50,000-74,999",Delhi,Yes,High
T0027,2024-06-25,17:57:14,S002,Gloves 546,Fashion and Accessories,Gloves,1,56357.87,56357.87,16008.35,Cash,C0049,84,Female,"<25,000",Chennai,No,Low
