Transaction ID,Date,Time,Store ID,Product ID,Quantity Sold,Price per Unit,Total Sales,Discount,Payment Method,Customer ID
T002779,2023-04-25,06:32 PM,S003,P0048,3,34086.6,102259.8,1018.91,Credit Card,C00416
T002267,2023-11-23,10:26 AM,S002,P0063,5,15929.99,79649.95,11115.33,Credit Card,C00426
T00686,2023-05-17,09:15 PM,S003,P00221,3,9101.64,27304.92,4018.27,Credit Card,C00587
T003319,2024-01-20,10:31 AM,S003,P00105,1,78993.18,78993.18,7582.54,Credit Card,C00501
T005254,2023-08-04,03:22 PM,S005,P00300,4,42582.78,170331.12,29345.65,Mobile Payment,C00498
T00960,2024-07-18,01:17 PM,S002,P00153,2,48726.89,97453.78,2060.11,Mobile Payment,C00483
T001377,2024-06-29,04:08 PM,S001,P0033,5,78338.08,391690.4,109201.78,Credit Card,C00377
T00761,2021-06-13,11:29 AM,S005,P00103,5,38956.95,194784.75,32333.77,Cash,C00546
T004534,2023-01-03,02:51 PM,S001,P0052,3,12632.68,37898.04,11136.56,Debit Card,C00539
T003266,2022-08-19,04:58 PM,S004,P0022,5,48816.8,244084.0,51406.46,Cash,C00195
T004577,2023-09-15,12:17 PM,S001,P0098,4,62721.32,250885.28,43650.76,Credit Card,C00607
T0019,2021-01-22,02:23 PM,S001,P003,4,55760.43,223041.72,30765.61,Credit Card,C00417
T006488,2024-01-24,06:15 PM,S002,P00135,1,60596.03,60596.03,16655.08,Mobile Payment,C00574
T005184,2024-01-21,10:36 AM,S005,P0041,3,70932.78,212798.34,28280.49,Cash,C00479
T00501,2024-07-18,11:50 AM,S005,P00276,4,53170.36,212681.44,32066.42,Debit Card,C004
T001196,2023-07-29,04:34 PM,S002,P0088,1,86219.81,86219.81,23403.78,Cash,C00117
T003195,2022-05-26,03:36 PM,S001,P00290,4,23980.85,95923.4,8527.23,Mobile Payment,C00669
T004625,2023-01-30,05:15 PM,S005,P0067,5,32142.95,160714.75,44203.77,Credit Card,C00606
T004731,2024-07-12,10:10 AM,S001,P0040,2,5490.85,10981.7,913.64,Mobile Payment,C00519
T001069,2023-02-12,07:44 PM,S005,P0018,4,33163.06,132652.24,22925.68,Debit Card,C00439
T002152,2022-08-08,04:20 PM,S001,P00159,4,90796.55,363186.2,57243.64,Credit Card,C00212
T003530,2023-08-22,06:56 PM,S003,P0052,3,80989.27,242967.81,8177.55,Debit Card,C00150
T001704,2024-01-24,08:59 PM,S002,P00181,3,66672.55,200017.65,57532.23,Cash,C00431
T005413,2022-08-18,07:10 PM,S001,P0061,1,81429.03,81429.03,18311.9,Debit Card,C00634
T00405,2023-05-12,11:29 AM,S003,P0060,5,53542.52,267712.6,44445.19,Mobile Payment,C00572
T004555,2022-09-27,11:37 AM,S001,P00224,5,43596.28,217981.4,54704.14,Debit Card,C00192
T003183,2021-12-10,06:55 PM,S003,P00226,4,42315.05,169260.2,48490.38,Mobile Payment,C00108
T003535,2024-06-10,06:18 PM,S001,P0019,5,30245.06,151225.3,23352.87,Debit Card,C00268
T00270,2023-06-22,02:02 PM,S004,P00182,3,75064.89,225194.67,38244.61,Debit Card,C00562
T003516,2023-04-17,02:02 PM,S001,P00135,2,90422.03,180844.06,49397.66,Mobile Payment,C00227
T003981,2023-12-12,10:10 AM,S002,P00296,1,59745.9,59745.9,4231.67,Mobile Payment,C00316
T00630,2023-10-01,06:38 PM,S004,P00200,5,79050.48,395252.4,118432.58,Credit Card,C00483
T003307,2022-03-03,10:21 AM,S005,P00102,1,84705.59,84705.59,21984.54,Cash,C00497
T005444,2023-06-24,07:41 PM,S003,P00165,3,96136.18,288408.54,12544.24,Cash,C00542
T005551,2021-12-08,06:53 PM,S001,P00163,2,56828.08,113656.16,28376.15,Mobile Payment,C00102
T002228,2023-01-14,05:28 PM,S003,P00187,2,56090.81,112181.62,25490.02,Cash,C00284
T006112,2024-02-13,03:22 PM,S001,P00227,3,41763.51,125290.53,19073.02,Mobile Payment,C00307
