Product ID,Product Name,Category,Subcategory,Supplier ID,Cost Price,Retail Price
P001,Treadmills 301,Sports and Outdoors,Treadmills,SUP0039,17773.0,23147.87
P002,Sunglasses 250,Fashion and Accessories,Sunglasses,SUP0028,48749.64,83684.12
P003,Protein Powders 199,Health and Wellness,Protein Powders,SUP0026,39835.66,65550.83
P004,Vitamins 488,Health and Wellness,Vitamins,SUP0019,33028.77,63383.12
P005,Gardening Supplies 973,Home and Garden,Gardening Supplies,SUP0058,45311.41,56400.45
P006,Gardening Supplies 748,Home and Garden,Gardening Supplies,SUP0053,8880.69,12874.57
P007,Microwave Ovens 473,Home Appliances,Microwave Ovens,SUP0041,10699.59,12114.17
P008,Tires 405,Automotive,Tires,SUP0040,10907.31,16570.93
P009,Scarves 188,Fashion and Accessories,Scarves,SUP0044,23918.03,34985.85
P0010,Graphic Novels 929,Books and Media,Graphic Novels,SUP0040,11993.08,16794.87
P0011,Non-Fiction Books 165,Books and Media,Non-Fiction Books,SUP0035,47719.15,71072.01
P0012,CDs 959,Books and Media,CDs,SUP0026,46148.27,91223.79
P0013,Furniture 781,Home and Garden,Furniture,SUP0027,7416.46,11311.83
P0014,Treadmills 211,Sports and Outdoors,Treadmills,SUP0060,936.86,1614.05
P0015,BBQ Grills 677,Home and Garden,BBQ Grills,SUP0030,33324.41,39855.8
P0016,Educational Toys 857,Toys and Games,Educational Toys,SUP0023,35493.25,58656.45
P0017,Refrigerators 806,Home Appliances,Refrigerators,SUP0025,43981.09,48437.96
P0018,Digital Cameras 307,Electronics,Digital Cameras,SUP0023,24624.19,37287.07
P0019,Motorcycle Helmets 336,Automotive,Motorcycle Helmets,SUP0032,47621.44,85388.5
P0020,Building Blocks 337,Toys and Games,Building Blocks,SUP0036,1623.97,2698.43
P0021,Indoor Plants 615,Home and Garden,Indoor Plants,SUP005,15409.54,29800.43
P0022,Video Games 624,Toys and Games,Video Games,SUP0065,8168.61,12913.2
P0023,Electric Kettles 613,Home Appliances,Electric Kettles,SUP0065,25148.47,44732.06
P0024,Furniture 125,Home and Garden,Furniture,SUP0013,43748.38,79693.05
P0025,Lighting 503,Home and Garden,Lighting,SUP0048,24751.8,49229.68
P0026,RC Cars 186,Toys and Games,RC Cars,SUP0041,14452.59,17599.42
P0027,Magazines 284,Books and Media,Magazines,SUP0025,40252.99,49829.99
P0028,BBQ Grills 640,Home and Garden,BBQ Grills,SUP0044,18148.65,30692.48
P0029,Smartphones 255,Electronics,Smartphones,SUP0024,3567.61,5524.05
P0030,Haircare Products 454,Health and Wellness,Haircare Products,SUP0015,32421.43,49099.38
P0031,Haircare Products 225,Health and Wellness,Haircare Products,SUP0040,8227.93,9894.02
P0032,Comic Books 432,Books and Media,Comic Books,SUP0044,4900.22,8184.57
P0033,Non-Fiction Books 672,Books and Media,Non-Fiction Books,SUP0048,46791.18,52404.0
P0034,eBooks 228,Books and Media,eBooks,SUP0038,14946.81,28736.01
P0035,CDs 849,Books and Media,CDs,SUP0020,18352.83,24304.97
P0036,Audiobooks 582,Books and Media,Audiobooks,SUP0051,35665.77,64753.76
P0037,Scarves 163,Fashion and Accessories,Scarves,SUP0045,32671.83,50508.2
P0038,Electric Kettles 179,Home Appliances,Electric Kettles,SUP0020,33236.66,56607.74
P0039,Health Monitors 998,Health and Wellness,Health Monitors,SUP0040,1791.73,3208.51
P0040,BBQ Grills 924,Home and Garden,BBQ Grills,SUP0030,35988.75,45914.11
P0041,Coffee Makers 885,Home Appliances,Coffee Makers,SUP0010,19855.48,26923.8
P0042,Vacuum Cleaners 651,Home Appliances,Vacuum Cleaners,SUP006,14478.07,16754.38
P0043,Bedding 496,Home and Garden,Bedding,SUP0032,23120.71,27394.88
P0044,Car Tools 206,Automotive,Car Tools,SUP0060,20751.83,23219.06
P0045,Hiking Boots 320,Sports and Outdoors,Hiking Boots,SUP005,16821.17,31411.52
P0046,Shoes 238,Fashion and Accessories,Shoes,SUP0031,1575.37,1749.18
P0047,Running Shoes 943,Sports and Outdoors,Running Shoes,SUP0035,15794.35,22375.85
P0048,Skincare Products 184,Health and Wellness,Skincare Products,SUP0064,11346.28,21235.71
P0049,Coffee Makers 907,Home Appliances,Coffee Makers,SUP0031,46113.74,59211.85
P0050,Laptops 916,Electronics,Laptops,SUP004,10978.4,14931.93
P0051,Essential Oils 649,Health and Wellness,Essential Oils,SUP0060,21519.74,31659.37
P0052,Smartphones 882,Electronics,Smartphones,SUP0058,30558.22,44547.81
P0053,Dolls 188,Toys and Games,Dolls,SUP0046,46669.04,68284.83
P0054,Running Shoes 583,Sports and Outdoors,Running Shoes,SUP0031,38417.85,46364.88
P0055,Gardening Supplies 734,Home and Garden,Gardening Supplies,SUP0059,18006.41,35273.08
P0056,Jewelry 112,Fashion and Accessories,Jewelry,SUP0045,7645.63,8648.41
P0057,Digital Cameras 789,Electronics,Digital Cameras,SUP0015,43194.81,80130.59
P0058,Car Accessories 288,Automotive,Car Accessories,SUP0019,19396.4,35323.42
P0059,Vitamins 758,Health and Wellness,Vitamins,SUP0013,40854.23,55808.49
P0060,Digital Cameras 670,Electronics,Digital Cameras,SUP0016,5854.69,9441.61
P0061,Printers 326,Electronics,Printers,SUP008,26134.1,40192.46
P0062,Dumbbells 466,Sports and Outdoors,Dumbbells,SUP0026,5087.34,6382.74
P0063,Gardening Supplies 721,Home and Garden,Gardening Supplies,SUP004,1166.6,2267.18
P0064,Hats 461,Fashion and Accessories,Hats,SUP0032,1596.53,3184.53
P0065,Indoor Plants 919,Home and Garden,Indoor Plants,SUP0012,13091.86,21499.27
P0066,Garden Tools 961,Home and Garden,Garden Tools,SUP0013,22073.24,26731.28
P0067,Microwave Ovens 973,Home Appliances,Microwave Ovens,SUP0013,22003.93,39323.37
P0068,Stuffed Animals 501,Toys and Games,Stuffed Animals,SUP0056,45144.83,66666.91
P0069,Gaming Consoles 399,Electronics,Gaming Consoles,SUP0032,8699.24,15602.76
P0070,Blenders 208,Home Appliances,Blenders,SUP0044,44003.39,76991.09
P0071,Microwave Ovens 641,Home Appliances,Microwave Ovens,SUP0064,49934.86,86353.59
P0072,Fiction Books 177,Books and Media,Fiction Books,SUP0064,9509.56,16646.52
P0073,Car Electronics 342,Automotive,Car Electronics,SUP0035,20667.27,32767.63
P0074,CDs 171,Books and Media,CDs,SUP001,16998.98,22479.08
P0075,Air Purifiers 997,Home Appliances,Air Purifiers,SUP005,5497.44,7521.71
P0076,Bedding 114,Home and Garden,Bedding,SUP0018,11754.1,23217.73
P0077,Indoor Plants 597,Home and Garden,Indoor Plants,SUP008,42027.95,69551.47
P0078,Jewelry 420,Fashion and Accessories,Jewelry,SUP0055,37825.38,65587.93
P0079,Garden Tools 123,Home and Garden,Garden Tools,SUP0055,21196.43,26579.21
P0080,Massage Devices 116,Health and Wellness,Massage Devices,SUP0019,15646.12,26126.06
P0081,Kitchen Tools 165,Home and Garden,Kitchen Tools,SUP002,36201.9,59945.59
P0082,Health Monitors 853,Health and Wellness,Health Monitors,SUP003,39641.53,78832.42
P0083,Printers 829,Electronics,Printers,SUP0058,11137.87,14762.68
P0084,Stuffed Animals 683,Toys and Games,Stuffed Animals,SUP0012,40712.16,47045.9
P0085,Home Assistants 139,Electronics,Home Assistants,SUP003,25239.66,49582.68
P0086,Bedding 610,Home and Garden,Bedding,SUP0044,29377.45,41162.97
P0087,Air Purifiers 976,Home Appliances,Air Purifiers,SUP0022,24646.85,36231.37
P0088,Refrigerators 487,Home Appliances,Refrigerators,SUP0010,22271.02,36815.16
P0089,Vacuum Cleaners 345,Home Appliances,Vacuum Cleaners,SUP0052,45468.34,76611.82
P0090,Routers 874,Electronics,Routers,SUP001,27585.26,42807.6
P0091,Belts 549,Fashion and Accessories,Belts,SUP0048,18961.25,34460.99
P0092,Shoes 802,Fashion and Accessories,Shoes,SUP0055,3302.08,4374.39
P0093,GPS Devices 190,Automotive,GPS Devices,SUP0030,37272.38,58761.18
P0094,Gaming Consoles 366,Electronics,Gaming Consoles,SUP0062,16012.43,18263.8
P0095,BBQ Grills 136,Home and Garden,BBQ Grills,SUP0051,42165.63,48060.15
P0096,Motorcycle Gear 247,Automotive,Motorcycle Gear,SUP0026,1626.67,2540.14
P0097,Car Accessories 169,Automotive,Car Accessories,SUP0011,40088.69,66820.85
P0098,Bedding 544,Home and Garden,Bedding,SUP009,31725.69,43684.48
P0099,Treadmills 419,Sports and Outdoors,Treadmills,SUP0010,1107.47,1429.11
P00100,Yoga Accessories 432,Health and Wellness,Yoga Accessories,SUP006,38954.02,70987.39
P00101,Coffee Makers 573,Home Appliances,Coffee Makers,SUP0049,18224.52,29452.89
P00102,Routers 449,Electronics,Routers,SUP0026,41758.91,73725.06
P00103,Home Assistants 947,Electronics,Home Assistants,SUP0042,10859.27,17769.77
P00104,Action Figures 231,Toys and Games,Action Figures,SUP0027,40042.96,46355.54
P00105,Wearable Devices 277,Electronics,Wearable Devices,SUP0048,49379.61,98619.69
P00106,Coffee Makers 802,Home Appliances,Coffee Makers,SUP0039,12952.41,23629.18
P00107,Car Tools 623,Automotive,Car Tools,SUP0039,19068.99,30386.86
P00108,Shoes 883,Fashion and Accessories,Shoes,SUP004,43251.54,81223.45
P00109,Gardening Supplies 952,Home and Garden,Gardening Supplies,SUP0027,16237.3,23242.83
P00110,Tires 918,Automotive,Tires,SUP008,22524.09,38654.69
P00111,Jewelry 344,Fashion and Accessories,Jewelry,SUP0041,36339.82,56141.82
P00112,Car Care Products 434,Automotive,Car Care Products,SUP005,5041.8,8914.98
P00113,Bedding 423,Home and Garden,Bedding,SUP0019,42214.51,62631.47
P00114,Jewelry 632,Fashion and Accessories,Jewelry,SUP0057,5123.44,6125.55
