Transaction ID,Date,Time,Store ID,Product ID,Quantity Sold,Price per Unit,Total Sales,Discount,Payment Method,Customer ID
T006173,2022-04-11,01:19 PM,S003,P00219,1,28489.13,28489.13,8127.41,Credit Card,C00457
T00886,2022-10-25,08:32 PM,S001,P00232,1,17373.12,17373.12,4177.97,Mobile Payment,C00382
T008976,2023-08-03,03:50 PM,S002,P00313,3,50589.38,151768.14,4770.03,Debit Card,C00666
T002880,2023-02-15,06:36 PM,S004,P00198,1,83588.87,83588.87,3654.09,Debit Card,C00227
T004735,2022-11-24,02:49 PM,S003,P00174,4,78660.29,314641.16,21816.6,Debit Card,C00538
T007460,2020-02-26,10:55 AM,S004,P00348,2,55448.68,110897.36,5028.27,Mobile Payment,C00231
T002557,2023-04-28,01:22 PM,S001,P00295,4,39038.0,156152.0,1717.02,Credit Card,C00598
T003697,2021-08-10,01:16 PM,S001,P0071,4,93936.78,375747.12,92190.92,Credit Card,C00443
T008066,2023-02-03,07:03 PM,S004,P00219,2,45649.23,91298.46,14192.43,Cash,C00264
T002123,2023-05-22,11:57 AM,S005,P00136,5,78797.08,393985.4,19452.82,Cash,C00121
T006665,2021-11-26,01:14 PM,S004,P0055,3,81926.2,245778.6,48476.58,Credit Card,C00746
T003433,2022-06-08,10:21 AM,S005,P00121,1,10686.95,10686.95,2261.42,Debit Card,C00515
T002317,2022-07-22,08:12 PM,S001,P00257,3,67558.46,202675.38,30527.71,Debit Card,C00767
T005385,2023-07-08,03:25 PM,S002,P0078,5,15149.0,75745.0,6773.18,Credit Card,C0065
T002050,2023-03-08,07:10 PM,S002,P00333,5,66455.52,332277.6,14965.71,Credit Card,C00531
T00564,2023-11-06,06:30 PM,S001,P00122,2,43272.5,86545.0,3918.66,Cash,C00657
T001744,2022-08-07,04:15 PM,S003,P00356,2,58469.1,116938.2,22531.31,Mobile Payment,C00110
T002639,2023-12-05,12:13 PM,S003,P00232,1,77996.93,77996.93,19900.19,Credit Card,C0022
